update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00406657,10000,3652,501,516,497,513,512,487,503,524,472,488,465,514,511,520,490,526,483,501,503,474
100,0.855148,10000,2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,503,2503,3217,3749
200,0.887485,10000,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1485,3520,4893
300,0.915299,10000,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,722,3005,6271
400,0.932193,10000,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,174,2509,7310
500,0.942668,10000,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1842,8129
600,0.9484,10000,1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,8556
700,0.95009,10000,1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,8644
800,0.953929,10000,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,9016
900,0.95454,10000,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,9254
1000,0.957693,10000,1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,9460
