update,count,free_syms,hosted_syms,PGG_donationrate,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,6348,0,6348,0.501394,52,186,482,1020,1433,1418,1017,501,167,72
100,7893,0,7893,0.522439,20,215,261,1325,2331,1147,1403,785,213,193
200,7967,0,7967,0.53875,0,62,334,1176,2297,946,2025,788,141,198
300,8094,0,8094,0.557873,0,41,229,1174,2552,710,2082,590,95,621
400,8125,0,8125,0.592303,0,20,228,1054,2252,482,2427,412,70,1180
500,8166,0,8166,0.627094,0,5,312,963,1863,320,2601,248,62,1792
600,8196,0,8196,0.64609,0,6,288,778,1741,375,2642,361,39,1966
700,8143,0,8143,0.675535,0,0,368,480,1505,382,2642,324,23,2419
800,8125,0,8125,0.676435,0,0,245,346,1527,453,2930,396,12,2216
900,8204,0,8204,0.699177,0,0,185,184,1475,340,3113,379,9,2519
1000,8192,0,8192,0.709347,0,0,146,166,1492,381,2951,355,8,2693
