update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00207416,6348,315,325,330,305,320,326,325,294,300,296,326,320,324,313,328,295,338,322,327,319
100,0.801293,7893,121,8,4,8,5,2,0,0,0,0,0,0,0,0,12,114,346,2462,3013,1798
200,0.775377,7967,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,82,3959,3259,491
300,0.769837,8094,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,144,5289,2460,125
400,0.771374,8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,6550,1415,48
500,0.760761,8166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,7389,701,5
600,0.757369,8196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,7696,436,0
700,0.753797,8143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,7880,210,0
800,0.749924,8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7983,102,0
900,0.747985,8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8100,45,0
1000,0.748244,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,8076,54,0
