update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00406657,10000,3652,501,516,497,513,512,487,503,524,472,488,465,514,511,520,490,526,483,501,503,474
100,0.841305,10000,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,535,2566,3941,2925
200,0.872069,10000,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,1609,3978,4130
300,0.906344,10000,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,597,3599,5766
400,0.92723,10000,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,140,2507,7317
500,0.940092,10000,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,1712,8274
600,0.944969,10000,1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1388,8611
700,0.946776,10000,1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,8881
800,0.949763,10000,1767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,9238
900,0.95106,10000,1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,9359
1000,0.951848,10000,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,9498
