update,count,free_syms,hosted_syms,PGG_donationrate,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,6348,0,6348,0.600558,0,0,0,0,406,2767,2741,434,0,0
100,7916,0,7916,0.600665,0,0,0,11,575,3603,3204,523,0,0
200,8034,0,8034,0.603524,0,0,0,0,352,4094,2834,754,0,0
300,8035,0,8035,0.598032,0,0,0,0,337,4412,2445,838,3,0
400,8094,0,8094,0.593877,0,0,0,0,300,4757,2273,764,0,0
500,8112,0,8112,0.591428,0,0,0,0,394,4812,2121,785,0,0
600,8123,0,8123,0.588423,0,0,0,0,465,4875,2061,722,0,0
700,8188,0,8188,0.58923,0,0,0,0,639,4488,2345,712,4,0
800,8233,0,8233,0.58402,0,0,0,0,883,4379,2248,711,12,0
900,8191,0,8191,0.592849,0,0,0,0,572,4306,2450,860,3,0
1000,8131,0,8131,0.600161,0,0,0,0,513,4105,2256,1257,0,0
