update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00207416,6348,315,325,330,305,320,326,325,294,300,296,326,320,324,313,328,295,338,322,327,319
100,0.781303,7916,243,31,4,18,0,3,2,0,0,0,0,2,2,12,38,97,253,1701,3326,2184
200,0.781132,8034,170,0,8,4,0,0,0,0,0,0,0,0,0,3,0,2,147,3105,3675,920
300,0.780439,8035,52,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,44,5083,2507,346
400,0.76998,8094,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6322,1693,36
500,0.760685,8112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7143,958,0
600,0.753013,8123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7648,469,0
700,0.750135,8188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7900,262,0
800,0.748488,8233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8047,171,0
900,0.747357,8191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8058,97,0
1000,0.746366,8131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,8052,37,0
